CustomerID,total_revenue,total_orders,first_purchase,last_purchase,customer_lifespan_days,avg_order_value,customer_lifetime_years,CLV,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_segment
12365.0,641.38,2,2011-02-21 13:51:00,2011-02-21 14:04:00,0,320.69,0.0,0.0,290,2,641.38,1,2,2,122,At risk
12367.0,168.9,1,2011-12-05 16:48:00,2011-12-05 16:48:00,0,168.9,0.0,0.0,3,1,168.9,4,1,1,411,Potential Loyals
12370.0,3545.69,4,2010-12-14 12:58:00,2011-10-19 14:51:00,309,886.4225,0.8465753424657534,3205.819970651206,50,4,3545.69,3,3,4,334,Champions
12371.0,1887.96,2,2011-10-11 10:43:00,2011-10-26 10:16:00,14,943.98,0.038356164383561646,154.67876935902538,44,2,1887.96,3,2,4,324,Loyal Customers
12372.0,1298.04,3,2011-02-16 12:46:00,2011-09-29 12:12:00,224,432.68,0.6136986301369863,1134.3699642155657,71,3,1298.04,2,3,3,233,Needs Atention
12373.0,364.6,1,2011-02-01 13:10:00,2011-02-01 13:10:00,0,364.6,0.0,0.0,310,1,364.6,1,1,2,112,Lost Customers
12374.0,742.9300000000001,1,2011-11-14 15:37:00,2011-11-14 15:37:00,0,742.9300000000001,0.0,0.0,24,1,742.9300000000001,3,1,3,313,Potential Loyals
12375.0,457.5,2,2011-09-02 14:23:00,2011-11-29 10:36:00,87,228.75,0.23835616438356164,232.92721536974932,10,2,457.5,4,2,2,422,Loyal Customers
12377.0,1628.12,2,2010-12-20 09:37:00,2011-01-28 15:45:00,39,814.06,0.10684931506849316,371.5873339017412,314,2,1628.12,1,2,3,123,At risk
12378.0,4008.62,1,2011-08-02 10:34:00,2011-08-02 10:34:00,0,4008.62,0.0,0.0,129,1,4008.62,2,1,4,214,Lost Customers
12379.0,852.24,2,2011-06-22 16:32:00,2011-09-19 10:09:00,88,426.12,0.2410958904109589,438.88877136739995,81,2,852.24,2,2,3,223,Needs Atention
12380.0,2724.81,4,2011-06-07 09:49:00,2011-11-18 11:27:00,164,681.2025,0.44931506849315067,1307.5549844445707,21,4,2724.81,3,3,4,334,Champions
12381.0,1845.31,5,2011-08-12 09:57:00,2011-12-05 12:44:00,115,369.062,0.3150684931506849,496.7490562281715,4,5,1845.31,4,3,4,434,Champions
12383.0,1850.56,5,2010-12-22 14:28:00,2011-06-08 08:02:00,167,370.11199999999997,0.4575342465753425,723.4183434876245,184,5,1850.56,1,3,4,134,At risk
12384.0,585.27,2,2011-08-10 11:23:00,2011-11-11 08:39:00,92,292.635,0.25205479452054796,315.10404228954695,28,2,585.27,3,2,2,322,Loyal Customers
12386.0,401.9,2,2010-12-08 09:53:00,2011-01-06 12:37:00,29,200.95,0.07945205479452055,68.20651938586686,337,2,401.9,1,2,2,122,At risk
12388.0,2780.66,6,2011-01-17 11:12:00,2011-11-24 12:30:00,311,463.4433333333333,0.852054794520548,1686.9294014580717,15,6,2780.66,4,4,4,444,Champions
12390.0,549.84,1,2011-09-21 09:33:00,2011-09-21 09:33:00,0,549.84,0.0,0.0,79,1,549.84,2,1,2,212,Lost Customers
12391.0,460.89,1,2011-11-18 12:07:00,2011-11-18 12:07:00,0,460.89,0.0,0.0,21,1,460.89,3,1,2,312,Potential Loyals
12393.0,1582.6000000000001,4,2011-01-11 09:47:00,2011-09-28 15:41:00,260,395.65000000000003,0.7123287671232876,1203.9942072920417,71,4,1582.6000000000001,2,3,3,233,Needs Atention
12394.0,1272.48,2,2011-05-06 14:01:00,2011-10-07 08:08:00,153,636.24,0.4191780821917808,1139.337205479452,63,2,1272.48,2,2,3,223,Needs Atention
12395.0,3018.63,12,2010-12-03 16:35:00,2011-11-20 15:21:00,351,251.5525,0.9616438356164384,1033.417076507702,18,12,3018.63,3,4,4,344,Champions
12397.0,2409.9,2,2011-07-27 14:21:00,2011-11-04 09:52:00,99,1204.95,0.27123287671232876,1396.1886397999203,35,2,2409.9,3,2,4,324,Loyal Customers
12398.0,1635.6599999999999,1,2011-10-25 10:27:00,2011-10-25 10:27:00,0,1635.6599999999999,0.0,0.0,45,1,1635.6599999999999,3,1,3,313,Potential Loyals
12399.0,1108.65,4,2011-03-23 09:42:00,2011-08-12 13:15:00,142,277.1625,0.38904109589041097,460.64110972166964,118,4,1108.65,2,3,3,233,Needs Atention
12401.0,84.3,1,2011-02-09 13:50:00,2011-02-09 13:50:00,0,84.3,0.0,0.0,302,1,84.3,1,1,1,111,Lost Customers
12402.0,225.6,1,2011-01-20 13:49:00,2011-01-20 13:49:00,0,225.6,0.0,0.0,322,1,225.6,1,1,1,111,Lost Customers
12403.0,427.7,1,2011-10-21 10:51:00,2011-10-21 10:51:00,0,427.7,0.0,0.0,49,1,427.7,3,1,2,312,Potential Loyals
12405.0,1710.39,1,2011-07-14 08:52:00,2011-07-14 08:52:00,0,1710.39,0.0,0.0,148,1,1710.39,1,1,4,114,Lost Customers
12406.0,3415.3,2,2011-06-09 10:23:00,2011-11-17 19:22:00,161,1707.65,0.4410958904109589,3217.8412738652373,21,2,3415.3,3,2,4,324,Loyal Customers
12407.0,1708.1200000000001,5,2011-03-20 13:21:00,2011-10-21 10:11:00,214,341.624,0.5863013698630137,855.6615681438957,49,5,1708.1200000000001,3,3,4,334,Champions
12408.0,2888.55,5,2011-03-24 14:46:00,2011-11-07 12:27:00,227,577.71,0.6219178082191781,1534.8842219064402,32,5,2888.55,3,3,4,334,Champions
12409.0,11072.67,3,2011-06-10 12:19:00,2011-09-22 10:38:00,103,3690.89,0.2821917808219178,4449.4692134119,78,3,11072.67,2,3,4,234,Needs Atention
12410.0,693.3299999999999,2,2011-02-04 10:38:00,2011-02-04 10:39:00,0,346.66499999999996,0.0,0.0,308,2,693.3299999999999,1,2,3,123,At risk
12412.0,1226.88,3,2011-06-23 13:51:00,2011-09-26 10:16:00,94,408.96000000000004,0.25753424657534246,449.93374364804185,74,3,1226.88,2,3,3,233,Needs Atention
12413.0,758.1,3,2011-01-06 16:12:00,2011-10-04 09:00:00,270,252.70000000000002,0.7397260273972602,798.5624509748195,66,3,758.1,2,3,3,233,Needs Atention
12414.0,562.41,3,2011-02-02 14:51:00,2011-05-06 14:51:00,93,187.47,0.2547945205479452,204.05846120616155,216,3,562.41,1,3,2,132,At risk
12415.0,124914.53,21,2011-01-06 11:12:00,2011-11-15 14:22:00,313,5948.310952380953,0.8575342465753425,21791.03611427585,23,21,124914.53,3,4,4,344,Champions
12417.0,3649.1,9,2010-12-17 11:51:00,2011-12-06 14:52:00,354,405.4555555555555,0.9698630136986301,1679.9114760710804,2,9,3649.1,4,4,4,444,Champions
12418.0,668.58,1,2011-08-19 11:08:00,2011-08-19 11:08:00,0,668.58,0.0,0.0,112,1,668.58,2,1,2,212,Lost Customers
12420.0,600.39,1,2011-10-07 08:55:00,2011-10-07 08:55:00,0,600.39,0.0,0.0,63,1,600.39,2,1,2,212,Lost Customers
12421.0,807.04,4,2011-01-24 15:09:00,2011-11-24 09:07:00,303,201.76,0.8301369863013699,715.5130796718391,15,4,807.04,4,3,3,433,Champions
12422.0,803.5600000000001,3,2011-01-19 09:13:00,2011-09-05 09:48:00,229,267.85333333333335,0.6273972602739726,717.9139909770511,95,3,803.5600000000001,2,3,3,233,Needs Atention
12423.0,1859.31,8,2010-12-21 10:54:00,2011-12-09 10:10:00,352,232.41375,0.9643835616438357,957.5122987551867,0,8,1859.31,4,4,4,444,Champions
12424.0,1760.96,2,2011-06-30 12:06:00,2011-06-30 12:06:00,0,880.48,0.0,0.0,162,2,1760.96,1,2,4,124,At risk
12425.0,777.2,1,2011-09-22 17:31:00,2011-09-22 17:31:00,0,777.2,0.0,0.0,77,1,777.2,2,1,3,213,Lost Customers
12426.0,582.73,1,2011-05-29 12:26:00,2011-05-29 12:26:00,0,582.73,0.0,0.0,194,1,582.73,1,1,2,112,Lost Customers
12427.0,825.8,3,2010-12-03 10:44:00,2011-11-18 08:56:00,349,275.26666666666665,0.9561643835616438,1124.3950633564273,21,3,825.8,3,3,3,333,Champions
12428.0,7956.46,9,2011-03-01 09:33:00,2011-11-14 08:22:00,257,884.0511111111111,0.7041095890410959,2659.1961727931916,25,9,7956.46,3,4,4,344,Champions
12429.0,3750.4,4,2010-12-09 12:05:00,2011-11-30 17:22:00,356,937.6,0.9753424657534246,3906.6767332967024,8,4,3750.4,4,3,4,434,Champions
12430.0,256.4,1,2011-10-27 15:09:00,2011-10-27 15:09:00,0,256.4,0.0,0.0,42,1,256.4,3,1,1,311,Potential Loyals
12431.0,6487.45,15,2010-12-01 10:03:00,2011-11-04 11:55:00,338,432.49666666666667,0.9260273972602739,1710.9579824130387,35,15,6487.45,3,4,4,344,Champions
12432.0,5059.32,5,2011-06-20 13:27:00,2011-10-28 11:43:00,129,1011.8639999999999,0.35342465753424657,1527.7480377877564,42,5,5059.32,3,3,4,334,Champions
12433.0,13375.87,7,2010-12-01 13:24:00,2011-12-09 10:02:00,372,1910.8385714285716,1.0191780821917809,8319.68375738186,0,7,13375.87,4,4,4,444,Champions
12434.0,806.14,2,2011-03-24 13:05:00,2011-09-16 12:38:00,175,403.07,0.4794520547945205,825.5785552334577,84,2,806.14,2,2,3,223,Needs Atention
12435.0,7829.89,2,2011-03-17 07:40:00,2011-09-21 09:06:00,188,3914.945,0.5150684931506849,8614.367468829143,79,2,7829.89,2,2,4,224,Needs Atention
12436.0,509.01,1,2011-09-01 12:09:00,2011-09-01 12:09:00,0,509.01,0.0,0.0,99,1,509.01,2,1,2,212,Lost Customers
12437.0,4951.41,18,2011-01-12 14:13:00,2011-12-08 11:35:00,329,275.0783333333333,0.9013698630136986,1059.234607531194,1,18,4951.41,4,4,4,444,Champions
12438.0,2906.85,2,2011-07-22 13:29:00,2011-11-25 13:28:00,125,1453.425,0.3424657534246575,2126.3880283825006,13,2,2906.85,4,2,4,424,Loyal Customers
12441.0,173.55,1,2010-12-08 10:45:00,2010-12-08 10:45:00,0,173.55,0.0,0.0,366,1,173.55,1,1,1,111,Lost Customers
12442.0,172.06,1,2011-12-06 14:22:00,2011-12-06 14:22:00,0,172.06,0.0,0.0,2,1,172.06,4,1,1,411,Potential Loyals
12444.0,5005.46,5,2011-06-21 14:00:00,2011-11-18 13:23:00,149,1001.092,0.40821917808219177,1745.8227102041847,20,5,5005.46,3,3,4,334,Champions
12445.0,133.4,1,2011-11-17 18:43:00,2011-11-17 18:43:00,0,133.4,0.0,0.0,21,1,133.4,3,1,1,311,Potential Loyals
12446.0,1002.3100000000001,1,2011-10-13 12:50:00,2011-10-13 12:50:00,0,1002.3100000000001,0.0,0.0,57,1,1002.3100000000001,2,1,3,213,Lost Customers
12447.0,476.49,1,2011-04-10 13:25:00,2011-04-10 13:25:00,0,476.49,0.0,0.0,242,1,476.49,1,1,2,112,Lost Customers
12448.0,449.45,1,2011-10-26 13:46:00,2011-10-26 13:46:00,0,449.45,0.0,0.0,43,1,449.45,3,1,2,312,Potential Loyals
12449.0,4067.29,4,2011-06-05 15:37:00,2011-11-17 13:46:00,164,1016.8225,0.44931506849315067,1951.7710639206248,21,4,4067.29,3,3,4,334,Champions
12450.0,197.88,2,2011-06-19 14:36:00,2011-07-06 14:41:00,17,98.94,0.04657534246575343,19.68614623240304,155,2,197.88,1,2,1,121,At risk
12451.0,9035.52,5,2011-01-19 09:05:00,2011-11-29 08:40:00,313,1807.104,0.8575342465753425,6620.142901320602,10,5,9035.52,4,3,4,434,Champions
12452.0,430.57,2,2011-11-23 08:05:00,2011-11-23 10:28:00,0,215.285,0.0,0.0,16,2,430.57,4,2,2,422,Loyal Customers
12453.0,707.09,1,2011-07-28 14:08:00,2011-07-28 14:08:00,0,707.09,0.0,0.0,133,1,707.09,2,1,3,213,Lost Customers
12454.0,3528.34,1,2011-10-14 17:13:00,2011-10-14 17:13:00,0,3528.34,0.0,0.0,55,1,3528.34,2,1,4,214,Lost Customers
12455.0,2466.86,6,2011-02-16 09:56:00,2011-09-27 15:31:00,223,411.1433333333334,0.6109589041095891,1073.0945644374553,72,6,2466.86,2,4,4,244,Needs Atention
12456.0,3181.04,3,2011-03-30 09:12:00,2011-10-26 14:41:00,210,1060.3466666666666,0.5753424657534246,2606.1958541591666,43,3,3181.04,3,3,4,334,Champions
12457.0,2363.23,7,2011-04-14 18:57:00,2011-10-04 13:13:00,172,337.6042857142857,0.4712328767123288,679.6358470423392,65,7,2363.23,2,4,4,244,Needs Atention
12458.0,947.4,2,2011-02-28 10:55:00,2011-09-29 15:25:00,213,473.7,0.5835616438356165,1180.9264980389928,70,2,947.4,2,2,3,223,Needs Atention
12461.0,826.88,2,2011-07-08 10:23:00,2011-09-06 16:57:00,60,413.44,0.1643835616438356,290.33782678716915,93,2,826.88,2,2,3,223,Needs Atention
12462.0,1189.59,2,2011-02-09 14:44:00,2011-11-21 09:11:00,284,594.795,0.7780821917808219,1977.0858529339318,18,2,1189.59,3,2,3,323,Loyal Customers
12463.0,1344.78,4,2011-04-12 12:47:00,2011-10-17 13:44:00,188,336.195,0.5150684931506849,739.7568219178082,52,4,1344.78,2,3,3,233,Needs Atention
12464.0,1212.05,8,2011-02-03 13:30:00,2011-11-29 13:33:00,299,151.50625,0.8191780821917808,530.2023113201589,9,8,1212.05,4,4,3,443,Champions
12465.0,742.1899999999999,2,2011-06-23 13:37:00,2011-11-22 16:34:00,152,371.09499999999997,0.41643835616438357,660.1894352425522,16,2,742.1899999999999,4,2,3,423,Loyal Customers
12468.0,729.5400000000001,2,2011-01-27 13:29:00,2011-06-05 11:36:00,128,364.77000000000004,0.3506849315068493,546.4733182515773,187,2,729.5400000000001,1,2,3,123,At risk
12471.0,19824.05,30,2010-12-10 09:35:00,2011-12-07 15:43:00,362,660.8016666666666,0.9917808219178083,2799.752103534444,1,30,19824.05,4,4,4,444,Champions
12472.0,6572.11,7,2010-12-05 14:19:00,2011-11-07 14:01:00,336,938.8728571428571,0.9205479452054794,3692.206143200894,31,7,6572.11,3,4,4,344,Champions
12473.0,3938.5499999999997,5,2011-06-01 10:15:00,2011-11-10 13:46:00,162,787.7099999999999,0.4438356164383562,1493.5551126016028,28,5,3938.5499999999997,3,3,4,334,Champions
12474.0,7375.79,18,2011-01-14 10:06:00,2011-11-22 14:39:00,312,409.7661111111111,0.8547945205479452,1496.3407783314492,16,18,7375.79,4,4,4,444,Champions
12475.0,723.38,1,2011-10-17 10:10:00,2011-10-17 10:10:00,0,723.38,0.0,0.0,53,1,723.38,2,1,3,213,Lost Customers
12476.0,6816.42,11,2010-12-13 14:39:00,2011-11-24 12:40:00,345,619.6745454545454,0.9452054794520548,2502.2035237155274,15,11,6816.42,4,4,4,444,Champions
12477.0,13219.74,6,2011-02-11 12:45:00,2011-11-17 09:51:00,278,2203.29,0.7616438356164383,7168.962995282214,22,6,13219.74,3,4,4,344,Champions
12478.0,680.99,1,2011-12-06 09:56:00,2011-12-06 09:56:00,0,680.99,0.0,0.0,3,1,680.99,4,1,3,413,Potential Loyals
12479.0,527.2,1,2011-11-28 13:26:00,2011-11-28 13:26:00,0,527.2,0.0,0.0,10,1,527.2,4,1,2,412,Potential Loyals
12480.0,3281.63,4,2011-01-07 15:27:00,2011-11-11 14:52:00,307,820.4075,0.8410958904109589,2947.8669417318756,27,4,3281.63,3,3,4,334,Champions
12481.0,5596.32,10,2010-12-09 10:13:00,2011-11-17 08:29:00,342,559.632,0.936986301369863,2240.105772250327,22,10,5596.32,3,4,4,344,Champions
12483.0,2484.98,8,2011-01-04 14:20:00,2011-11-22 17:02:00,322,310.6225,0.8821917808219178,1170.6542922627057,16,8,2484.98,4,4,4,444,Champions
12484.0,4541.72,6,2011-01-07 14:04:00,2011-11-07 11:37:00,303,756.9533333333334,0.8301369863013699,2684.4270950693776,32,6,4541.72,3,4,4,344,Champions
12488.0,1298.66,3,2011-09-25 10:34:00,2011-11-30 08:50:00,65,432.8866666666667,0.1780821917808219,329.3270814360089,9,3,1298.66,4,3,3,433,Champions
12489.0,334.93,1,2011-01-07 13:13:00,2011-01-07 13:13:00,0,334.93,0.0,0.0,335,1,334.93,1,1,2,112,Lost Customers
12490.0,5417.93,10,2011-01-14 09:13:00,2011-12-04 16:07:00,324,541.793,0.8876712328767123,2054.5574008753483,4,10,5417.93,4,4,4,444,Champions
12491.0,460.40000000000003,1,2011-11-01 12:18:00,2011-11-01 12:18:00,0,460.40000000000003,0.0,0.0,38,1,460.40000000000003,3,1,2,312,Potential Loyals
12492.0,263.21000000000004,2,2011-08-26 14:51:00,2011-10-07 15:15:00,42,131.60500000000002,0.11506849315068493,64.69363580211828,62,2,263.21000000000004,2,2,1,221,Needs Atention
12493.0,433.74,2,2011-05-26 14:53:00,2011-06-27 10:17:00,31,216.87,0.08493150684931507,78.68664938706682,165,2,433.74,1,2,2,122,At risk
12494.0,1246.1000000000001,7,2010-12-09 11:31:00,2011-11-24 09:34:00,349,178.01428571428573,0.9561643835616438,727.1435604167964,15,7,1246.1000000000001,4,4,3,443,Champions
12497.0,1043.1,1,2011-09-19 12:29:00,2011-09-19 12:29:00,0,1043.1,0.0,0.0,81,1,1043.1,2,1,3,213,Lost Customers
12498.0,403.70000000000005,3,2011-10-13 09:30:00,2011-11-18 12:53:00,36,134.5666666666667,0.09863013698630137,56.69958430436349,20,3,403.70000000000005,3,3,2,332,Loyal Customers
12500.0,4257.82,11,2011-01-10 09:48:00,2011-11-16 16:20:00,310,387.07454545454544,0.8493150684931506,1404.4173488652223,22,11,4257.82,3,4,4,344,Champions
12501.0,2169.39,1,2011-01-07 12:28:00,2011-01-07 12:28:00,0,2169.39,0.0,0.0,336,1,2169.39,1,1,4,114,Lost Customers
12502.0,3723.87,5,2011-02-03 10:41:00,2011-09-05 11:52:00,214,744.774,0.5863013698630137,1865.4265764489664,95,5,3723.87,2,3,4,234,Needs Atention
12504.0,482.04999999999995,2,2011-11-09 14:56:00,2011-11-21 16:02:00,12,241.02499999999998,0.03287671232876712,33.851913071486756,17,2,482.04999999999995,4,2,2,422,Loyal Customers
12506.0,73.5,1,2011-04-21 08:54:00,2011-04-21 08:54:00,0,73.5,0.0,0.0,232,1,73.5,1,1,1,111,Lost Customers
12507.0,1304.81,3,2011-02-14 09:24:00,2011-07-28 17:09:00,164,434.93666666666667,0.44931506849315067,834.8524945485473,133,3,1304.81,2,3,3,233,Needs Atention
12508.0,398.27,2,2011-11-10 16:27:00,2011-11-13 15:37:00,2,199.135,0.005479452054794521,4.66141182414723,25,2,398.27,3,2,2,322,Loyal Customers
12509.0,176.5,1,2011-02-28 14:45:00,2011-02-28 14:45:00,0,176.5,0.0,0.0,283,1,176.5,1,1,1,111,Lost Customers
12510.0,982.5699999999999,2,2011-01-18 14:04:00,2011-07-20 10:15:00,182,491.28499999999997,0.4986301369863014,1046.5133473793237,142,2,982.5699999999999,1,2,3,123,At risk
12512.0,138.03,2,2011-10-04 14:53:00,2011-10-04 14:55:00,0,69.015,0.0,0.0,65,2,138.03,2,2,1,221,Needs Atention
12513.0,612.29,1,2011-08-19 10:51:00,2011-08-19 10:51:00,0,612.29,0.0,0.0,112,1,612.29,2,1,2,212,Lost Customers
12514.0,1017.68,1,2011-03-17 16:38:00,2011-03-17 16:38:00,0,1017.68,0.0,0.0,266,1,1017.68,1,1,3,113,Lost Customers
12515.0,383.7,1,2010-12-21 15:43:00,2010-12-21 15:43:00,0,383.7,0.0,0.0,352,1,383.7,1,1,2,112,Lost Customers
12516.0,1312.06,2,2011-06-12 11:37:00,2011-09-23 09:13:00,102,656.03,0.27945205479452057,783.1839001117869,77,2,1312.06,2,2,3,223,Needs Atention
12517.0,2502.84,5,2011-06-02 15:13:00,2011-11-11 14:04:00,161,500.56800000000004,0.4410958904109589,943.2543968472311,27,5,2502.84,3,3,4,334,Champions
12518.0,2056.89,5,2011-08-21 13:18:00,2011-12-09 10:13:00,109,411.378,0.29863013698630136,524.8164506489322,0,5,2056.89,4,3,4,434,Champions
12519.0,340.84,1,2011-10-07 09:26:00,2011-10-07 09:26:00,0,340.84,0.0,0.0,63,1,340.84,2,1,2,212,Lost Customers
12520.0,2634.26,5,2011-03-11 11:35:00,2011-09-21 15:23:00,194,526.8520000000001,0.5315068493150685,1196.2728390812006,78,5,2634.26,2,3,4,234,Needs Atention
12521.0,599.68,1,2011-07-20 10:51:00,2011-07-20 10:51:00,0,599.68,0.0,0.0,142,1,599.68,1,1,2,112,Lost Customers
12522.0,192.72,2,2011-10-19 14:41:00,2011-10-31 15:30:00,12,96.36,0.03287671232876712,13.533742738589211,38,2,192.72,3,2,1,321,Loyal Customers
12523.0,1789.77,11,2011-01-12 09:43:00,2011-11-20 12:55:00,312,162.70636363636365,0.8547945205479452,594.1539824827023,18,11,1789.77,3,4,4,344,Champions
12524.0,4485.72,8,2011-01-10 10:35:00,2011-11-30 15:31:00,324,560.715,0.8876712328767123,2126.3123610526914,8,8,4485.72,4,4,4,444,Champions
12526.0,1316.66,3,2011-09-06 14:19:00,2011-12-09 12:09:00,93,438.8866666666667,0.2547945205479452,477.7219706827842,0,3,1316.66,4,3,3,433,Champions
12527.0,348.71000000000004,3,2011-01-18 12:05:00,2011-09-19 11:55:00,243,116.23666666666668,0.6657534246575343,330.5896861251635,81,3,348.71000000000004,2,3,2,232,Needs Atention
12528.0,1933.48,6,2011-01-31 09:05:00,2011-11-30 14:40:00,303,322.24666666666667,0.8301369863013699,1142.801867965163,8,6,1933.48,4,4,4,444,Champions
12530.0,1662.28,4,2011-01-07 10:04:00,2011-10-11 12:34:00,277,415.57,0.7589041095890411,1347.2985325476673,59,4,1662.28,2,3,4,234,Needs Atention
12531.0,125.22,1,2011-11-25 11:12:00,2011-11-25 11:12:00,0,125.22,0.0,0.0,14,1,125.22,4,1,1,411,Potential Loyals
12532.0,349.83000000000004,1,2011-11-09 13:47:00,2011-11-09 13:47:00,0,349.83000000000004,0.0,0.0,29,1,349.83000000000004,3,1,2,312,Potential Loyals
12534.0,1089.18,1,2011-08-01 10:26:00,2011-08-01 10:26:00,0,1089.18,0.0,0.0,130,1,1089.18,2,1,3,213,Lost Customers
12535.0,716.35,2,2011-06-06 12:47:00,2011-09-09 08:48:00,94,358.175,0.25753424657534246,394.060589375825,91,2,716.35,2,2,3,223,Needs Atention
12536.0,12601.830000000002,3,2011-10-11 14:52:00,2011-10-27 14:20:00,15,4200.610000000001,0.0410958904109589,737.4685435495178,42,3,12601.830000000002,3,3,4,334,Champions
12538.0,363.95,1,2011-11-10 17:16:00,2011-11-10 17:16:00,0,363.95,0.0,0.0,28,1,363.95,3,1,2,312,Potential Loyals
12539.0,5568.35,4,2011-01-10 09:11:00,2011-11-17 13:30:00,311,1392.0875,0.852054794520548,5067.1854879465955,21,4,5568.35,3,3,4,334,Champions
12540.0,13400.24,17,2010-12-13 09:39:00,2011-11-20 11:31:00,342,788.2494117647059,0.936986301369863,3155.2199610941516,19,17,13400.24,3,4,4,344,Champions
12541.0,981.18,3,2011-03-04 09:32:00,2011-11-10 10:40:00,251,327.06,0.6876712328767123,960.817784800773,29,3,981.18,3,3,3,333,Champions
12544.0,372.7,1,2011-11-03 16:15:00,2011-11-03 16:15:00,0,372.7,0.0,0.0,35,1,372.7,3,1,2,312,Potential Loyals
12545.0,1000.39,2,2011-03-25 12:04:00,2011-09-25 13:39:00,184,500.195,0.5041095890410959,1077.2017457448355,74,2,1000.39,2,2,3,223,Needs Atention
12546.0,1161.5,2,2011-09-23 09:44:00,2011-10-24 12:09:00,31,580.75,0.08493150684931507,210.71273865236802,46,2,1161.5,3,2,3,323,Loyal Customers
12547.0,207.79999999999998,2,2011-03-04 12:46:00,2011-05-26 12:38:00,82,103.89999999999999,0.22465753424657534,99.71701724802162,197,2,207.79999999999998,1,2,1,121,At risk
12548.0,95.19999999999999,1,2011-06-26 15:35:00,2011-06-26 15:35:00,0,95.19999999999999,0.0,0.0,165,1,95.19999999999999,1,1,1,111,Lost Customers
12550.0,964.83,1,2011-09-21 14:35:00,2011-09-21 14:35:00,0,964.83,0.0,0.0,78,1,964.83,2,1,3,213,Lost Customers
12551.0,168.0,1,2010-12-17 11:23:00,2010-12-17 11:23:00,0,168.0,0.0,0.0,357,1,168.0,1,1,1,111,Lost Customers
12552.0,437.82,2,2011-10-31 12:11:00,2011-11-01 10:02:00,0,218.91,0.0,0.0,38,2,437.82,3,2,2,322,Loyal Customers
12553.0,3692.28,10,2011-01-14 10:42:00,2011-12-01 16:38:00,321,369.228,0.8794520547945206,1387.2014677655886,7,10,3692.28,4,4,4,444,Champions
12556.0,603.71,2,2011-07-11 13:35:00,2011-10-20 13:06:00,100,301.855,0.273972602739726,353.2956201014292,49,2,603.71,3,2,2,322,Loyal Customers
